publication_number,id,title,abstract
EP-4584229-A1,EP-4584229-A1_en,Amino compound-containing dispersion powder compositions,"The invention relates to water-redispersible dispersion powder compositions (dispersion powder compositions) based on copolymers of a) vinyl acetate, b) ethylene, c) optionally one or more auxiliary monomers, and d) optionally one or more additional ethylenically unsaturated monomers. The invention is characterized in that one or more amino compounds (nitrogen compounds) selected from the group comprising polyoxyalkylene amines, polyethylene imines, aliphatic polyamines, and compounds of the formula R-NR'H are contained, wherein in the formula R-NR'H, the group R represents a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms and R' is a hydrogen atom, an NH 2 group, or a carbonyl group, with the proviso that the auxiliary monomers c) are selected from the group comprising ethylenically unsaturated mono- and dicarboxylic acids, ethylenically unsaturated carboxylic acid nitriles, acrylamide (CH 2 CHCONH 2 ), ethylenically unsaturated sulfonic acids, ethylenically unsaturated silicon-functional monomers, and hydroxyethyl, hydroxypropyl, or hydroxybutyl acrylate or methacrylate; the additional ethylenically unsaturated monomers d) are selected from the group comprising methyl acrylate, methyl methacrylate, ethyl acrylate, ethyl methacrylate, propyl acrylate, propyl methacrylate, n-butyl acrylate, n-butyl methacrylate, 2-ethylhexyl acrylate, norbornyl acrylate, vinyl aromatics, and vinyl halides; and the water-redispersible dispersion powder compositions do not contain epoxide group-containing compounds (epoxide compounds)."
EP-4577666-A1,EP-4577666-A1_en,"Process for the production of (1r,2s)-2,6-dimethyl-1-indanamine using dynamic kinetic stereoisomer resolution","Described is a process for producing nearly enantiomerically pure (1R,2S)-2,6-dimethyl-1-indanamine, said process being characterized by the reaction of a mixture of the four stereoisomers of 2,6-dimethyl-1-indanamine with an acylating or carboxylating agent in the presence of a protein with lipase activity and being carried out using dynamic kinetic stereoisomer resolution."
EP-4633583-A1,EP-4633583-A1_en,Semi-permanent smoothing hair composition and uses thereof,"Provided herein are catalyst cream base compositions and activator compositions, kits comprising the same and methods of use thereof. The catalyst cream base composition can comprise calcium hydroxide and a silicone blocker and the activator compositions can comprise guanidine hydrochloride. The compositions can be used for the preparation of smoothing compositions. The methods of use can comprise methods of semi-permanently smoothing hair. The kits can comprise catalyst cream base compositions and activator compositions and instructions to use the same for semi-permanently smoothing hair."
MX-2025009468-A,MX-2025009468-A_en,Low temperature curing composition for rubber based adhesives and sealants,"The invention relates to a rubber-based composition that can be thermally cured at reduced temperature while retaining performance over a broad cure temperature window comprising at least one solid rubber, at least one diene-based polymer or copolymer containing an olefinic double bond and/or an aromatically substituted olefin, suitable for undergoing curing with a curing system present as quinone dioxime, peroxides and optional multifunctional acrylates, preferably in the absence of elemental sulfur. The cured composition exhibits improved reversion resistance and adhesion strength on aluminum."
MX-2025010613-A,MX-2025010613-A_en,"Biodegradable, industrially compostable, and recyclable injection molded microcellular flexible foams","This document discloses a process for manufacturing recyclable injection molded microcellular foams for use in, footwear components, seating components, protective gear components, and watersport accessories. The process includes the steps of providing a thermoplastic polymer which comprises at least one monomer derived from depolymerized post-consumer plastic, inserting a fluid into a barrel of a molding apparatus. The fluid is introduced under temperature and pressure conditions to produce a super critical fluid. The process further includes mixing the thermoplastic polymer and super critical fluid so as to create a single phase solution, and injecting the single phase solution into a mold of an injection molding machine under gas counter pressure. The process further includes foaming the single phase solution by controlling the head and temperature conditions within the mold."
WO-2025203849-A1,WO-2025203849-A1_en,Ferritic stainless steel for ammonia combustion environment,"The purpose of the present invention is to provide a ferritic stainless steel for an NH3 combustion environment and having excellent high-temperature NH3 resistance in an NH3 combustion environment in which high-temperature NH3 is included. This ferritic stainless steel for an NH3 combustion environment has a component composition which contains, in mass%, 0.020% or less of C, 0.05-2.50% of Si, 0.05-2.00% of Mn, 0.050% or less of P, 0.010% or less of S, 0.20-6.00% of Al, 0.020% or less of N, and 12.0-25.0% of Cr, and in which the remaining portion includes Fe and unavoidable impurities."
WO-2025212071-A1,WO-2025212071-A1_en,A solid dispersion of enzalutamide,"The present invention relates to a solid dispersion comprising enzalutamide or its pharmaceutically acceptable salts, hydroxypropyl methylcellulose phthalate (HPMCP), soluplus® (polyvinyl caprolactam-polyvinyl acetate-polyethylene glycol), surfactant, and optionally at least one pharmaceutically acceptable excipient. The present invention also relates to a pharmaceutical composition comprising the solid dispersion of enzalutamide and its use for treating prostate cancer. The present invention further relates to a process for preparation of the solid dispersion of enzalutamide and the pharmaceutical composition comprising the solid dispersion of enzalutamide."
EP-4566167-A1,EP-4566167-A1_en,Shaped body and method for a photovoltaic module,"The invention relates to a shaped body (6, 7) for producing a photovoltaic module, in particular a thermal photovoltaic module (4), comprising: - an upper face (11) which is concavely or convexly curved in a height direction (Z) in order to bend a layer stack (12) comprising at least two layers (1, 2, 3) for the photovoltaic module (4). The invention also relates to a method for processing a layer stack (12) for a photovoltaic module."
WO-2025207441-A1,WO-2025207441-A1_en,"Process for producing fuel, base oils, and/or chemicals from renewable feedstocks",A renewable feedstock is pretreated and then hydrotreated to produce an effluent. The effluent is separated into a liquid stream and an offgas stream. At least one of the offgas streams comprises hydrogen sulphide. The offgas stream is passed to a biological desulfurization unit where a majority of the hydrogen sulphide is converted to bio-sulphur. At least a portion of the bio-sulphur is recycled to the pretreating step.
MX-2025008102-A,MX-2025008102-A_en,Plant microbes and uses thereof,"Provided herein are compositions and methods for use in challenging pathogenic bacteria on plants. Optional features include modification of a donor bacteria to include exogenous nucleic acids encoding for conjugation machinery and gene modification components, such as guide sequence for use in CRISPR. The compositions and methods provided herein can be used for delivery to a wide variety of crops and for targeting one or more pathogens."
WO-2025216961-A1,WO-2025216961-A1_en,Recycling of glass-containing pvb wastes via high temperature treatment,"It has been discovered that high volumes of glass particles and valuable recycled content products may be directly derived from waste PVB-containing compositions, such as interlayers. More particularly, one or more valuable recycled content products and glass particles can be consistently recovered from the high temperature treatment of waste PVB-containing compositions. Consequently, one can optimize recovery and utilization of recycled content products from waste PVB-containing compositions."
WO-2025206141-A1,WO-2025206141-A1_en,"Conductive particles, conductive material, and connection structure","Provided are conductive particles capable of exhibiting low dielectric properties. These conductive particles comprise base material particles, and a conductive layer disposed on the surface of the base material particles. The base material particles are a polymer of polymerizable components. The polymerizable components include a polymerizable compound having one or more maleimide groups. Of the 100 wt% of the polymerizable components, the content of the polymerizable compound having one or more maleimide groups is 10 wt% or more and 80 wt% or less. The dielectric constant of the base material particles is 2.80 F/m or less, and the dielectric loss tangent of the base material particles is 0.01 or less."
WO-2025186444-A8,WO-2025186444-A8_en,Chemical pretreatment method for metallic substrates including pre-rinse treatment step,"The present invention relates to a method of chemical pretreatment of a metallic surface of a substrate comprising at least steps 1) and 2), i.e., contacting the metallic surface at least in portion with an aqueous pre-rinse composition PRC, which comprises at least zirconium cations and copper cations (step 1)), and contacting at least the pre-rinsed portion of the metallic surface obtained after step 1)) at least in portion with an aqueous composition AC, which comprises zirconium cations, copper cations, and at least one organosilane and/or at least one hydrolysis and/or condensation product thereof, a method of coating the surface of the substrate that has undergone the aforementioned chemical pretreatment method, a substrate obtainable by these methods, and a kit-of-parts comprising an aqueous pre-rinse composition PRC or a concentrate thereof, and an aqueous composition AC or a concentrate thereof."
MX-2025009632-A,MX-2025009632-A_en,"Anhydrous cosmetic composition including oil and platy mineral, and methods of use",Method and composition for making up the lips. Method includes applying to the lips an anhydrous composition. The composition includes at least one nonvolatile silicone oil; at least one volatile oil; at least one film-former; at least one colorant; at least one platy mineral; and a mattifying agent. The at least one nonvolatile silicone oil and the at least one volatile oil are present in a weight ratio of nonvolatile silicone oil to volatile oil from about 4:1 to about 10:1.
WO-2025188593-A8,WO-2025188593-A8_en,Wick-based analytical device for multiplexed quantification of biomarkers using carbon dots integrated with molecularly imprinted polymer,"A device for assaying analytes has a wicking substrate having a sample zone, a waste zone, a plurality of channels that each support capillary flow between the sample zone and the waste zone. The channels comprise different synthetic receptors that are selected to interact with different analytes. The channels also include nanoparticles that are configured to undergo a visible state change when an interaction between an analyte and a synthetic receptor occurs nearby. An extent of the state change along a channel is indicative of concentration of the analyte that corresponds to that channel."
WO-2025210643-A1,WO-2025210643-A1_en,A process for preparing an electrode film and implementations thereof,"The present disclosure provides a process for preparing an electrode fdm, the process comprising: first calendering through a first set of rollers (101) to obtain a first film and second calendering the first film through a second set of rollers (102) to obtain an electrode film, wherein the electrode film has a porosity in a range of 17 to 22% and a density in a range of 1.7 to 3.9 g/cc. The present disclosure further provides an electrode film obtained by the process as disclosed herein, an electrode comprising the electrode film as disclosed herein, a method of preparing the electrode as disclosed herein, a first electrochemical cell comprising the electrode as disclosed herein, and a use of the electrode film, electrode and electrochemical cell as disclosed herein."
WO-2024072262-A1,WO-2024072262-A1_en,Aluminium casting alloy,"The invention relates to the field of metallurgy, and more particularly to aluminium-based alloys, and can be used for producing complex-shaped thin-walled castings, preferably by die casting. An aluminium-based casting alloy contains: 2.0 – 5.2 wt% calcium; 0.05 – 0.8 wt% silicon; 0.05 – 1.0 wt% iron; 0.01 – 5.0 wt% zinc; 0.01 – 2.0 wt% magnesium; optionally, at least one alloying element from among the group: 0.01 – 1.4 wt% copper; 0.01 – 1.5 wt% manganese; 0.01 – 0.2 wt% chromium; 0.01 – 0.2 wt% titanium; 0.01 – 0.2 wt% zirconium, aluminium and unavoidable impurities. The technical result of the invention is that of providing high strength properties, while preserving plasticity, workability during casting, and high corrosion resistance."
EP-4504821-A1,EP-4504821-A1_en,Aqueous dispersions of pre-crosslinked organopolysiloxanes,"Described are novel aqueous dispersions of pre-crosslinked organopolysiloxanes which contain on average at least one structural unit of general formula (I): SiRO 2/2 -Y-SiRO 2/2 and units of formula (II): R 2 SiO 2/2 , wherein Y means a group of formula: -R 2 -[NR 3 -R 4 ] x -NR 3 -OC-[C(Z 1 )(H)] k1 -[C(Z 2 )(H)] k2 -CO-NR 3 -[R 4 -NR 3 ] a -R 2 -R 2 SiO 1/2 -[R 2 SiO 2/2 ] b -R 2 SiO 1/2 -R 2 -[NR 3 -R 4 ] a - NR 3 -OC-[C(Z 2 )(H)] k2 -[C(Z 1 )(H)] k1 -CO-NR 3 -[R 4 -NR 3 ] x -R 2 -, R can be the same or different, means a monovalent SiC-bound hydrocarbon group with 1 to 18 carbon atoms which can contain one or more heteroatoms from the group N, P, S, O and halogen, R 2 means an SiC-bound, divalent linear or branched hydrocarbon group with 3 to 18 carbon atoms, R 3 is a hydrogen atom, an alkyl group with 1 to 8 carbon atoms or an acyl group, R 4 means a divalent hydrocarbon group with 1 to 6 carbon atoms, k1 is 0, 1, 2 or 3, k2 is 0, 1, 2 or 3, x is 0, 1, 2, 3 or 4, a is 0, 1, 2, 3 or 4, b is 0 or an integer from 1 to 500, Z 1 means -OH, H or -NHR 3 and Z 2 means -OH, H or -NHR 3 ."
