model,query_id,query_language,concept_name,best_gold_rank,best_hardneg_rank,win,top_neighbor_name,top_relation
alibaba-nlp-gte-multilingual-base,CHEBI_29309__fr,fr,methyl,74,37,1,ethyl,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29309__es,es,methyl,41,27,1,ethyl,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29309__zh,zh,methyl,152,270,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_62801__en,en,ethyl,69,55,1,trichloromethyl(.),sibling
alibaba-nlp-gte-multilingual-base,CHEBI_62801__de,de,ethyl,52,75,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_62801__fr,fr,ethyl,295,2,1,methyl,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_62801__es,es,ethyl,1,152,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_62801__zh,zh,ethyl,89,129,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29191__en,en,hydroxyl,1,369,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29191__de,de,hydroxyl,132,5,1,ozone,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29191__fr,fr,hydroxyl,152,77,1,hydroxide,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29191__es,es,hydroxyl,25,77,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29191__zh,zh,hydroxyl,54,118,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16541__en__57,en,protein polypeptide chain,10,2,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_16541__de__58,de,protein polypeptide chain,30,186,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16541__fr__59,fr,protein polypeptide chain,124,22,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_16541__es__60,es,protein polypeptide chain,57,6,1,polypeptide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_16541__zh__61,zh,protein polypeptide chain,19,138,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29389__en,en,silane,108,13,1,ammonia,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29389__de,de,silane,36,58,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29389__fr,fr,silane,99,210,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29389__zh,zh,silane,80,76,1,ammonia,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_29389__es,es,silane,61,37,1,ammonia,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30832__en,en,adipic acid,300,363,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_30832__de,de,adipic acid,,676,1,itaconic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30832__fr,fr,adipic acid,566,467,1,succinic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_30832__es,es,adipic acid,,819,1,sebacic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17246__en,en,poly(vinyl alcohol) macromolecule,2,161,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_30832__zh,zh,adipic acid,,405,1,itaconic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17246__de,de,poly(vinyl alcohol) macromolecule,1,59,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17246__fr,fr,poly(vinyl alcohol) macromolecule,2,26,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17246__es,es,poly(vinyl alcohol) macromolecule,216,205,1,polyhexamethylene biguanide,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17246__zh,zh,poly(vinyl alcohol) macromolecule,9,45,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16052__en,en,propene,314,4,1,ammonia,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16052__de,de,propene,9,13,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16052__fr,fr,propene,73,117,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16052__es,es,propene,179,1,1,hydrogen chloride,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16052__zh,zh,propene,2,7,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_25219__en,en,methacrylic acid,2,35,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_25219__de,de,methacrylic acid,13,1,1,acrylic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_25219__fr,fr,methacrylic acid,149,117,1,retinoic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_25219__es,es,methacrylic acid,189,236,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_25219__zh,zh,methacrylic acid,431,6,1,acrylic acid,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16134__en,en,ammonia,11,7,1,propene,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16134__fr,fr,ammonia,122,97,1,ethene,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16134__de,de,ammonia,1,41,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16134__es,es,ammonia,12,4,1,ethene,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16134__zh,zh,ammonia,412,5,1,propene,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_53262__de,de,poly(propylene glycol) macromolecule,530,337,1,poly(ether) macromolecule,parent
alibaba-nlp-gte-multilingual-base,CHEBI_53262__en,en,poly(propylene glycol) macromolecule,127,156,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_53262__es,es,poly(propylene glycol) macromolecule,,19,1,poly(ethylene glycol),sibling
alibaba-nlp-gte-multilingual-base,CHEBI_53262__zh,zh,poly(propylene glycol) macromolecule,174,172,1,poly(ethylene glycol),sibling
alibaba-nlp-gte-multilingual-base,CHEBI_53262__fr,fr,poly(propylene glycol) macromolecule,354,63,1,poly(ethylene glycol),sibling
alibaba-nlp-gte-multilingual-base,CHEBI_53284__de,de,polyurethane macromolecule,1,4,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_53284__en,en,polyurethane macromolecule,1,10,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_53284__fr,fr,polyurethane macromolecule,1,45,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_53284__es,es,polyurethane macromolecule,25,31,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_53284__zh,zh,polyurethane macromolecule,25,9,1,poly(vinyl alcohol) macromolecule,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17909__en,en,polysulfur,661,51,1,elemental sulfur,parent
alibaba-nlp-gte-multilingual-base,CHEBI_17909__de,de,polysulfur,185,13,1,elemental sulfur,parent
alibaba-nlp-gte-multilingual-base,CHEBI_17909__fr,fr,polysulfur,2,27,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17909__zh,zh,polysulfur,137,34,1,elemental sulfur,parent
alibaba-nlp-gte-multilingual-base,CHEBI_17909__es,es,polysulfur,21,32,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29390__en,en,silicon carbide,6,26,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29390__de,de,silicon carbide,221,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29390__fr,fr,silicon carbide,32,,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29390__zh,zh,silicon carbide,1,854,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_29390__es,es,silicon carbide,6,706,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_15882__en,en,phenol,17,13,1,serotonin,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_15882__de,de,phenol,751,95,1,bisphenol,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_15882__fr,fr,phenol,288,670,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_15882__es,es,phenol,107,20,1,SN-38,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17246__en__116,en,poly(vinyl alcohol) macromolecule,336,17,1,poly(alkylene) macromolecule,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_15882__zh,zh,phenol,43,468,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17246__fr__118,fr,poly(vinyl alcohol) macromolecule,1,8,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_17246__de__119,de,poly(vinyl alcohol) macromolecule,36,2,1,polyurethane macromolecule,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17246__es__120,es,poly(vinyl alcohol) macromolecule,760,53,1,polyurethane macromolecule,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_17246__zh__121,zh,poly(vinyl alcohol) macromolecule,3,33,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_136511__en,en,manganese dioxide,1,41,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_136511__fr,fr,manganese dioxide,,28,1,metal oxide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_136511__de,de,manganese dioxide,,392,1,metal oxide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_136511__es,es,manganese dioxide,,60,1,metal oxide,parent
alibaba-nlp-gte-multilingual-base,CHEBI_136511__zh,zh,manganese dioxide,1,302,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16526__en,en,carbon dioxide,4,3,1,methanol,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16526__de,de,carbon dioxide,9,5,1,dioxygen,sibling
alibaba-nlp-gte-multilingual-base,CHEBI_16526__fr,fr,carbon dioxide,14,18,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16526__es,es,carbon dioxide,5,13,0,,
alibaba-nlp-gte-multilingual-base,CHEBI_16526__zh,zh,carbon dioxide,11,14,0,,
baai-bge-m3,CHEBI_15138__en,en,sulfide(2-),55,8,1,sulfate,sibling
baai-bge-m3,CHEBI_15138__de,de,sulfide(2-),6,166,0,,
baai-bge-m3,CHEBI_15138__fr,fr,sulfide(2-),136,7,1,hydrogenphosphate,sibling
baai-bge-m3,CHEBI_30488__en,en,sulfonium,1,185,0,,
baai-bge-m3,CHEBI_30488__de,de,sulfonium,1,296,0,,
baai-bge-m3,CHEBI_30488__fr,fr,sulfonium,1,129,0,,
baai-bge-m3,CHEBI_30488__es,es,sulfonium,1,141,0,,
baai-bge-m3,CHEBI_30488__zh,zh,sulfonium,1,254,0,,
baai-bge-m3,CHEBI_16716__en,en,benzene,1,54,0,,
baai-bge-m3,CHEBI_16716__fr,fr,benzene,41,3,1,biphenyl,sibling
baai-bge-m3,CHEBI_16716__de,de,benzene,2,14,0,,
baai-bge-m3,CHEBI_16716__zh,zh,benzene,90,1,1,biphenyl,sibling
baai-bge-m3,CHEBI_16716__es,es,benzene,1,3,0,,
baai-bge-m3,CHEBI_17359__en,en,sulfite,1,6,0,,
baai-bge-m3,CHEBI_17359__de,de,sulfite,1,4,0,,
baai-bge-m3,CHEBI_17359__fr,fr,sulfite,1,3,0,,
baai-bge-m3,CHEBI_17359__zh,zh,sulfite,129,22,1,sulfonate,sibling
baai-bge-m3,CHEBI_17359__es,es,sulfite,1,14,0,,
baai-bge-m3,CHEBI_17115__en,en,L-serine,1,64,0,,
baai-bge-m3,CHEBI_17115__de,de,L-serine,1,31,0,,
baai-bge-m3,CHEBI_17115__fr,fr,L-serine,1,58,0,,
baai-bge-m3,CHEBI_17967__en,en,urethane,1,,0,,
baai-bge-m3,CHEBI_17115__zh,zh,L-serine,2,21,0,,
baai-bge-m3,CHEBI_17967__de,de,urethane,1,,0,,
baai-bge-m3,CHEBI_17967__fr,fr,urethane,1,,0,,
baai-bge-m3,CHEBI_17967__es,es,urethane,1,,0,,
baai-bge-m3,CHEBI_17967__zh,zh,urethane,1,,0,,
baai-bge-m3,CHEBI_17967__en__27,en,urethane,1,,0,,
baai-bge-m3,CHEBI_17967__de__28,de,urethane,29,,0,,
baai-bge-m3,CHEBI_17967__fr__29,fr,urethane,1,,0,,
baai-bge-m3,CHEBI_17967__es__30,es,urethane,4,,0,,
baai-bge-m3,CHEBI_16541__en,en,protein polypeptide chain,1,3,0,,
baai-bge-m3,CHEBI_17967__zh__32,zh,urethane,29,,0,,
baai-bge-m3,CHEBI_16541__de,de,protein polypeptide chain,1,12,0,,
baai-bge-m3,CHEBI_16541__fr,fr,protein polypeptide chain,1,3,0,,
baai-bge-m3,CHEBI_16541__es,es,protein polypeptide chain,1,4,0,,
baai-bge-m3,CHEBI_16541__zh,zh,protein polypeptide chain,1,3,0,,
baai-bge-m3,CHEBI_16898__en,en,pyrimidine,1,306,0,,
baai-bge-m3,CHEBI_16898__de,de,pyrimidine,1,338,0,,
baai-bge-m3,CHEBI_16898__fr,fr,pyrimidine,1,195,0,,
baai-bge-m3,CHEBI_16898__es,es,pyrimidine,1,36,0,,
baai-bge-m3,CHEBI_16898__zh,zh,pyrimidine,2,763,0,,
baai-bge-m3,CHEBI_29309__de,de,methyl,1,85,0,,
baai-bge-m3,CHEBI_29309__en,en,methyl,18,30,0,,
baai-bge-m3,CHEBI_29309__fr,fr,methyl,3,173,0,,
baai-bge-m3,CHEBI_29309__es,es,methyl,13,146,0,,
baai-bge-m3,CHEBI_29309__zh,zh,methyl,2,39,0,,
baai-bge-m3,CHEBI_62801__en,en,ethyl,1,22,0,,
baai-bge-m3,CHEBI_62801__de,de,ethyl,39,4,1,methyl,sibling
baai-bge-m3,CHEBI_62801__fr,fr,ethyl,1,23,0,,
baai-bge-m3,CHEBI_62801__es,es,ethyl,4,1,1,methyl,sibling
baai-bge-m3,CHEBI_62801__zh,zh,ethyl,14,3,1,methyl,sibling
baai-bge-m3,CHEBI_29191__en,en,hydroxyl,8,581,0,,
baai-bge-m3,CHEBI_29191__de,de,hydroxyl,13,461,0,,
baai-bge-m3,CHEBI_29191__fr,fr,hydroxyl,9,125,0,,
baai-bge-m3,CHEBI_29191__es,es,hydroxyl,4,617,0,,
baai-bge-m3,CHEBI_29191__zh,zh,hydroxyl,22,373,0,,
baai-bge-m3,CHEBI_16541__en__57,en,protein polypeptide chain,1,2,0,,
baai-bge-m3,CHEBI_16541__de__58,de,protein polypeptide chain,1,7,0,,
baai-bge-m3,CHEBI_16541__fr__59,fr,protein polypeptide chain,5,11,0,,
baai-bge-m3,CHEBI_16541__es__60,es,protein polypeptide chain,1,12,0,,
baai-bge-m3,CHEBI_16541__zh__61,zh,protein polypeptide chain,4,16,0,,
baai-bge-m3,CHEBI_29389__en,en,silane,1,273,0,,
baai-bge-m3,CHEBI_29389__de,de,silane,1,110,0,,
baai-bge-m3,CHEBI_29389__fr,fr,silane,1,263,0,,
baai-bge-m3,CHEBI_29389__zh,zh,silane,1,36,0,,
baai-bge-m3,CHEBI_29389__es,es,silane,1,50,0,,
baai-bge-m3,CHEBI_30832__en,en,adipic acid,1,170,0,,
baai-bge-m3,CHEBI_30832__de,de,adipic acid,1,405,0,,
baai-bge-m3,CHEBI_30832__fr,fr,adipic acid,13,147,0,,
baai-bge-m3,CHEBI_30832__es,es,adipic acid,11,61,0,,
baai-bge-m3,CHEBI_17246__en,en,poly(vinyl alcohol) macromolecule,1,9,0,,
baai-bge-m3,CHEBI_30832__zh,zh,adipic acid,208,198,1,succinic acid,sibling
baai-bge-m3,CHEBI_17246__de,de,poly(vinyl alcohol) macromolecule,1,34,0,,
baai-bge-m3,CHEBI_17246__fr,fr,poly(vinyl alcohol) macromolecule,1,13,0,,
baai-bge-m3,CHEBI_17246__es,es,poly(vinyl alcohol) macromolecule,1,10,0,,
baai-bge-m3,CHEBI_17246__zh,zh,poly(vinyl alcohol) macromolecule,1,5,0,,
baai-bge-m3,CHEBI_16052__en,en,propene,7,1,1,ethene,sibling
baai-bge-m3,CHEBI_16052__de,de,propene,12,1,1,ethene,sibling
baai-bge-m3,CHEBI_16052__fr,fr,propene,2,1,1,ethene,sibling
baai-bge-m3,CHEBI_16052__es,es,propene,1,2,0,,
baai-bge-m3,CHEBI_16052__zh,zh,propene,59,1,1,dioxygen,sibling
baai-bge-m3,CHEBI_25219__en,en,methacrylic acid,1,33,0,,
baai-bge-m3,CHEBI_25219__de,de,methacrylic acid,1,9,0,,
baai-bge-m3,CHEBI_25219__fr,fr,methacrylic acid,2,20,0,,
baai-bge-m3,CHEBI_25219__es,es,methacrylic acid,1,27,0,,
baai-bge-m3,CHEBI_25219__zh,zh,methacrylic acid,51,3,1,acrylic acid,sibling
baai-bge-m3,CHEBI_16134__en,en,ammonia,1,3,0,,
baai-bge-m3,CHEBI_16134__fr,fr,ammonia,1,3,0,,
baai-bge-m3,CHEBI_16134__de,de,ammonia,1,5,0,,
baai-bge-m3,CHEBI_16134__es,es,ammonia,1,7,0,,
baai-bge-m3,CHEBI_16134__zh,zh,ammonia,1,5,0,,
baai-bge-m3,CHEBI_53262__de,de,poly(propylene glycol) macromolecule,1,21,0,,
baai-bge-m3,CHEBI_53262__en,en,poly(propylene glycol) macromolecule,1,144,0,,
baai-bge-m3,CHEBI_53262__es,es,poly(propylene glycol) macromolecule,6,26,0,,
baai-bge-m3,CHEBI_53262__zh,zh,poly(propylene glycol) macromolecule,7,21,0,,
baai-bge-m3,CHEBI_53262__fr,fr,poly(propylene glycol) macromolecule,1,23,0,,
baai-bge-m3,CHEBI_53284__de,de,polyurethane macromolecule,1,71,0,,
baai-bge-m3,CHEBI_53284__en,en,polyurethane macromolecule,1,49,0,,
baai-bge-m3,CHEBI_53284__fr,fr,polyurethane macromolecule,1,30,0,,
baai-bge-m3,CHEBI_53284__es,es,polyurethane macromolecule,1,5,0,,
baai-bge-m3,CHEBI_53284__zh,zh,polyurethane macromolecule,1,20,0,,
baai-bge-m3,CHEBI_17909__en,en,polysulfur,29,36,0,,
baai-bge-m3,CHEBI_17909__de,de,polysulfur,1,43,0,,
baai-bge-m3,CHEBI_17909__fr,fr,polysulfur,1,95,0,,
baai-bge-m3,CHEBI_17909__zh,zh,polysulfur,30,13,1,elemental sulfur,parent
baai-bge-m3,CHEBI_17909__es,es,polysulfur,3,72,0,,
baai-bge-m3,CHEBI_29390__en,en,silicon carbide,1,679,0,,
baai-bge-m3,CHEBI_29390__de,de,silicon carbide,1,,0,,
baai-bge-m3,CHEBI_29390__fr,fr,silicon carbide,1,564,0,,
baai-bge-m3,CHEBI_29390__zh,zh,silicon carbide,1,687,0,,
baai-bge-m3,CHEBI_29390__es,es,silicon carbide,1,,0,,
baai-bge-m3,CHEBI_15882__en,en,phenol,3,155,0,,
baai-bge-m3,CHEBI_15882__de,de,phenol,1,253,0,,
baai-bge-m3,CHEBI_15882__fr,fr,phenol,11,108,0,,
baai-bge-m3,CHEBI_15882__es,es,phenol,19,84,0,,
baai-bge-m3,CHEBI_17246__en__116,en,poly(vinyl alcohol) macromolecule,1,4,0,,
baai-bge-m3,CHEBI_15882__zh,zh,phenol,2,24,0,,
baai-bge-m3,CHEBI_17246__fr__118,fr,poly(vinyl alcohol) macromolecule,1,24,0,,
baai-bge-m3,CHEBI_17246__de__119,de,poly(vinyl alcohol) macromolecule,1,5,0,,
baai-bge-m3,CHEBI_17246__es__120,es,poly(vinyl alcohol) macromolecule,1,9,0,,
baai-bge-m3,CHEBI_17246__zh__121,zh,poly(vinyl alcohol) macromolecule,1,19,0,,
baai-bge-m3,CHEBI_136511__en,en,manganese dioxide,1,8,0,,
baai-bge-m3,CHEBI_136511__fr,fr,manganese dioxide,1,7,0,,
baai-bge-m3,CHEBI_136511__de,de,manganese dioxide,6,26,0,,
baai-bge-m3,CHEBI_136511__es,es,manganese dioxide,1,12,0,,
baai-bge-m3,CHEBI_136511__zh,zh,manganese dioxide,1,8,0,,
baai-bge-m3,CHEBI_16526__en,en,carbon dioxide,1,2,0,,
baai-bge-m3,CHEBI_16526__de,de,carbon dioxide,2,1,1,dioxygen,sibling
baai-bge-m3,CHEBI_16526__fr,fr,carbon dioxide,1,3,0,,
baai-bge-m3,CHEBI_16526__es,es,carbon dioxide,2,1,1,dioxygen,sibling
baai-bge-m3,CHEBI_16526__zh,zh,carbon dioxide,1,3,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_15138__en,en,sulfide(2-),153,1,1,sulfite,sibling
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_15138__de,de,sulfide(2-),17,4,1,sulfate,sibling
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_15138__fr,fr,sulfide(2-),978,61,1,sulfate,sibling
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_30488__en,en,sulfonium,1,25,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_30488__de,de,sulfonium,1,262,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_30488__fr,fr,sulfonium,1,73,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_30488__es,es,sulfonium,28,131,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_30488__zh,zh,sulfonium,1,10,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_16716__en,en,benzene,1,58,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_16716__fr,fr,benzene,223,6,1,anilines,sibling
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_16716__de,de,benzene,43,28,1,acetonitrile,sibling
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_16716__zh,zh,benzene,205,34,1,biphenyl,sibling
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_16716__es,es,benzene,10,23,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17359__en,en,sulfite,1,4,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17359__de,de,sulfite,1,43,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17359__fr,fr,sulfite,1,28,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17359__zh,zh,sulfite,1,20,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17359__es,es,sulfite,1,14,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17115__en,en,L-serine,1,184,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17115__de,de,L-serine,1,159,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17115__fr,fr,L-serine,1,44,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__en,en,urethane,6,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17115__zh,zh,L-serine,2,38,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__de,de,urethane,206,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__fr,fr,urethane,16,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__es,es,urethane,1,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__zh,zh,urethane,99,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__en__27,en,urethane,1,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__de__28,de,urethane,11,,0,,
cambridgeltl-sapbert-umls-2020ab-all-lang-from-xlmr,CHEBI_17967__fr__29,fr,urethane,1,,0,,
